"You","0"
"","2"
"TheCreator","22"
"???","3"
"Moi","4"
"Jimbob","15"
"ThatGuy","3"
"MOniubw","3"
"OohDearie","1"
"OohDearie","0"
"ME","0"
"ME","0"
"ENHANCE","2"
"wg","3"
"","6"
"OohDearie","19"
"OohDearie","19"
"OohDearie","19"
"Anonymous","8"
"ME","1"
"ThaWinnar","4"
"YouFace","0"
"YouFace","0"
"Omnibus","1"
"OMGWTF","1"
"Hmmm?","0"
"NotWitty","0"
"ohs","2"
"why>","0"
"why>","0"
"why>","0"
